2018-01-18 01:41:31.409 [http-nio-8080-exec-10] INFO  com.imooc.o2o.util.ShortNetAddressUtil - response string: {"tinyurl":"http:\/\/dwz.cn\/7gwMBF","status":0,"longurl":"https://open.weixin.qq.com/connect/oauth2/authorize?appid=wx0ef11c0049518bbb&redirect_uri=http://smyang.s1.natapp.cc/o2o/shopadmin/adduserproductmap&response_type=code&scope=snsapi_userinfo&state=%7BaaaproductIdaaa%3A1%2CaaacustomerIdaaa%3A9%2CaaacreateTimeaaa%3A1516210891284%7D#wechat_redirect","err_msg":""}
2018-01-18 01:41:31.410 [http-nio-8080-exec-10] INFO  com.imooc.o2o.util.ShortNetAddressUtil - tinyurl: http://dwz.cn/7gwMBF
2018-01-18 09:02:47.677 [main] INFO  com.imooc.o2o.O2oApplication - Starting O2oApplication on DESKTOP-M247JDC with PID 1528 (started by 10353 in F:\Spring Tool Suite\o2o)
2018-01-18 09:02:47.731 [main] INFO  com.imooc.o2o.O2oApplication - No active profile set, falling back to default profiles: default
2018-01-18 09:02:58.477 [main] INFO  com.imooc.o2o.cache.JedisPoolWriper - init jedispool success
2018-01-18 09:03:00.852 [main] INFO  com.imooc.o2o.O2oApplication - Started O2oApplication in 14.191 seconds (JVM running for 17.311)
2018-01-18 09:06:54.170 [http-nio-8080-exec-9] INFO  com.imooc.o2o.util.ShortNetAddressUtil - ready create connection...
2018-01-18 09:06:54.346 [http-nio-8080-exec-9] INFO  com.imooc.o2o.util.ShortNetAddressUtil - response string: {"tinyurl":"http:\/\/dwz.cn\/7gyDIB","status":0,"longurl":"https://open.weixin.qq.com/connect/oauth2/authorize?appid=wx0ef11c0049518bbb&redirect_uri=http://smyang.s1.natapp.cc/o2o/shopadmin/adduserproductmap&response_type=code&scope=snsapi_userinfo&state=%7BaaaproductIdaaa%3A1%2CaaacustomerIdaaa%3A9%2CaaacreateTimeaaa%3A1516237614147%7D#wechat_redirect","err_msg":""}
2018-01-18 09:06:54.379 [http-nio-8080-exec-9] INFO  com.imooc.o2o.util.ShortNetAddressUtil - tinyurl: http://dwz.cn/7gyDIB
2018-01-18 09:31:06.675 [main] INFO  com.imooc.o2o.O2oApplication - Starting O2oApplication on DESKTOP-M247JDC with PID 16360 (started by 10353 in F:\Spring Tool Suite\o2o)
2018-01-18 09:31:06.678 [main] INFO  com.imooc.o2o.O2oApplication - No active profile set, falling back to default profiles: default
2018-01-18 09:31:09.093 [main] INFO  com.imooc.o2o.cache.JedisPoolWriper - init jedispool success
2018-01-18 09:31:10.075 [main] INFO  com.imooc.o2o.O2oApplication - Started O2oApplication in 3.609 seconds (JVM running for 4.596)
2018-01-18 09:33:02.689 [http-nio-8080-exec-3] INFO  com.imooc.o2o.util.ShortNetAddressUtil - ready create connection...
2018-01-18 09:33:03.062 [http-nio-8080-exec-3] INFO  com.imooc.o2o.util.ShortNetAddressUtil - response string: {"tinyurl":"http:\/\/dwz.cn\/7gyZV0","status":0,"longurl":"https://open.weixin.qq.com/connect/oauth2/authorize?appid=wx0ef11c0049518bbb&redirect_uri=http://smyang.s1.natapp.cc/o2o/shopadmin/adduserproductmap&response_type=code&scope=snsapi_userinfo&state=%7BaaaproductIdaaa%3A8%2CaaacustomerIdaaa%3A9%2CaaacreateTimeaaa%3A1516239182685%7D#wechat_redirect","err_msg":""}
2018-01-18 09:33:03.080 [http-nio-8080-exec-3] INFO  com.imooc.o2o.util.ShortNetAddressUtil - tinyurl: http://dwz.cn/7gyZV0
2018-01-18 09:33:20.110 [http-nio-8080-exec-9] INFO  com.imooc.o2o.util.ShortNetAddressUtil - ready create connection...
2018-01-18 09:33:20.191 [http-nio-8080-exec-9] INFO  com.imooc.o2o.util.ShortNetAddressUtil - response string: {"tinyurl":"http:\/\/dwz.cn\/7gz0b4","status":0,"longurl":"https://open.weixin.qq.com/connect/oauth2/authorize?appid=wx0ef11c0049518bbb&redirect_uri=http://smyang.s1.natapp.cc/o2o/shopadmin/adduserproductmap&response_type=code&scope=snsapi_userinfo&state=%7BaaaproductIdaaa%3A8%2CaaacustomerIdaaa%3A9%2CaaacreateTimeaaa%3A1516239200109%7D#wechat_redirect","err_msg":""}
